district,year,month,season,crime_count
1,2015,1,1,52
2,2015,1,1,35
3,2015,1,1,50
4,2015,1,1,77
5,2015,1,1,46
6,2015,1,1,62
7,2015,1,1,53
8,2015,1,1,73
9,2015,1,1,54
10,2015,1,1,36
11,2015,1,1,73
12,2015,1,1,39
14,2015,1,1,25
15,2015,1,1,57
16,2015,1,1,39
17,2015,1,1,26
18,2015,1,1,39
19,2015,1,1,39
20,2015,1,1,11
22,2015,1,1,34
24,2015,1,1,16
25,2015,1,1,60
1,2015,2,1,37
2,2015,2,1,29
3,2015,2,1,41
4,2015,2,1,43
5,2015,2,1,37
6,2015,2,1,45
7,2015,2,1,41
8,2015,2,1,58
9,2015,2,1,49
10,2015,2,1,41
11,2015,2,1,61
12,2015,2,1,33
14,2015,2,1,25
15,2015,2,1,34
16,2015,2,1,39
17,2015,2,1,23
18,2015,2,1,26
19,2015,2,1,30
20,2015,2,1,15
22,2015,2,1,35
24,2015,2,1,26
25,2015,2,1,62
1,2015,3,2,47
2,2015,3,2,45
3,2015,3,2,62
4,2015,3,2,84
5,2015,3,2,66
6,2015,3,2,73
7,2015,3,2,54
8,2015,3,2,82
9,2015,3,2,54
10,2015,3,2,57
11,2015,3,2,90
12,2015,3,2,46
14,2015,3,2,36
15,2015,3,2,44
16,2015,3,2,45
17,2015,3,2,33
18,2015,3,2,55
19,2015,3,2,48
20,2015,3,2,17
22,2015,3,2,39
24,2015,3,2,29
25,2015,3,2,69
1,2015,4,2,57
2,2015,4,2,44
3,2015,4,2,57
4,2015,4,2,79
5,2015,4,2,40
6,2015,4,2,68
7,2015,4,2,73
8,2015,4,2,68
9,2015,4,2,43
10,2015,4,2,42
11,2015,4,2,92
12,2015,4,2,45
14,2015,4,2,52
15,2015,4,2,63
16,2015,4,2,35
17,2015,4,2,37
18,2015,4,2,55
19,2015,4,2,28
20,2015,4,2,20
22,2015,4,2,33
24,2015,4,2,23
25,2015,4,2,66
1,2015,5,2,35
2,2015,5,2,44
3,2015,5,2,62
4,2015,5,2,88
5,2015,5,2,48
6,2015,5,2,77
7,2015,5,2,94
8,2015,5,2,92
9,2015,5,2,42
10,2015,5,2,47
11,2015,5,2,84
12,2015,5,2,48
14,2015,5,2,43
15,2015,5,2,57
16,2015,5,2,38
17,2015,5,2,41
18,2015,5,2,51
19,2015,5,2,59
20,2015,5,2,17
22,2015,5,2,48
24,2015,5,2,34
25,2015,5,2,60
31,2015,5,2,1
1,2015,6,3,48
2,2015,6,3,38
3,2015,6,3,50
4,2015,6,3,70
5,2015,6,3,49
6,2015,6,3,66
7,2015,6,3,67
8,2015,6,3,88
9,2015,6,3,58
10,2015,6,3,39
11,2015,6,3,73
12,2015,6,3,68
14,2015,6,3,27
15,2015,6,3,58
16,2015,6,3,35
17,2015,6,3,32
18,2015,6,3,55
19,2015,6,3,59
20,2015,6,3,20
22,2015,6,3,42
24,2015,6,3,33
25,2015,6,3,60
1,2015,7,3,52
2,2015,7,3,63
3,2015,7,3,60
4,2015,7,3,81
5,2015,7,3,55
6,2015,7,3,75
7,2015,7,3,73
8,2015,7,3,66
9,2015,7,3,69
10,2015,7,3,55
11,2015,7,3,106
12,2015,7,3,54
14,2015,7,3,36
15,2015,7,3,55
16,2015,7,3,45
17,2015,7,3,35
18,2015,7,3,64
19,2015,7,3,58
20,2015,7,3,17
22,2015,7,3,34
24,2015,7,3,32
25,2015,7,3,53
1,2015,8,3,61
2,2015,8,3,47
3,2015,8,3,68
4,2015,8,3,70
5,2015,8,3,55
6,2015,8,3,94
7,2015,8,3,93
8,2015,8,3,66
9,2015,8,3,72
10,2015,8,3,47
11,2015,8,3,79
12,2015,8,3,69
14,2015,8,3,60
15,2015,8,3,55
16,2015,8,3,41
17,2015,8,3,31
18,2015,8,3,54
19,2015,8,3,58
20,2015,8,3,20
22,2015,8,3,43
24,2015,8,3,38
25,2015,8,3,74
1,2015,9,4,67
2,2015,9,4,52
3,2015,9,4,67
4,2015,9,4,58
5,2015,9,4,46
6,2015,9,4,78
7,2015,9,4,66
8,2015,9,4,61
9,2015,9,4,63
10,2015,9,4,51
11,2015,9,4,69
12,2015,9,4,59
14,2015,9,4,38
15,2015,9,4,49
16,2015,9,4,43
17,2015,9,4,29
18,2015,9,4,52
19,2015,9,4,64
20,2015,9,4,20
22,2015,9,4,35
24,2015,9,4,27
25,2015,9,4,66
1,2015,10,4,55
2,2015,10,4,53
3,2015,10,4,49
4,2015,10,4,77
5,2015,10,4,48
6,2015,10,4,76
7,2015,10,4,66
8,2015,10,4,73
9,2015,10,4,54
10,2015,10,4,41
11,2015,10,4,87
12,2015,10,4,55
14,2015,10,4,37
15,2015,10,4,50
16,2015,10,4,41
17,2015,10,4,43
18,2015,10,4,44
19,2015,10,4,54
20,2015,10,4,28
22,2015,10,4,37
24,2015,10,4,42
25,2015,10,4,72
1,2015,11,4,48
2,2015,11,4,43
3,2015,11,4,50
4,2015,11,4,68
5,2015,11,4,41
6,2015,11,4,66
7,2015,11,4,55
8,2015,11,4,70
9,2015,11,4,49
10,2015,11,4,47
11,2015,11,4,69
12,2015,11,4,51
14,2015,11,4,45
15,2015,11,4,60
16,2015,11,4,34
17,2015,11,4,37
18,2015,11,4,60
19,2015,11,4,47
20,2015,11,4,20
22,2015,11,4,41
24,2015,11,4,29
25,2015,11,4,60
1,2015,12,1,59
2,2015,12,1,39
3,2015,12,1,55
4,2015,12,1,67
5,2015,12,1,41
6,2015,12,1,62
7,2015,12,1,55
8,2015,12,1,54
9,2015,12,1,50
10,2015,12,1,48
11,2015,12,1,71
12,2015,12,1,62
14,2015,12,1,50
15,2015,12,1,30
16,2015,12,1,50
17,2015,12,1,34
18,2015,12,1,48
19,2015,12,1,48
20,2015,12,1,10
22,2015,12,1,27
24,2015,12,1,34
25,2015,12,1,50
1,2016,1,1,52
2,2016,1,1,39
3,2016,1,1,59
4,2016,1,1,60
5,2016,1,1,32
6,2016,1,1,62
7,2016,1,1,69
8,2016,1,1,59
9,2016,1,1,49
10,2016,1,1,35
11,2016,1,1,61
12,2016,1,1,52
14,2016,1,1,42
15,2016,1,1,43
16,2016,1,1,42
17,2016,1,1,24
18,2016,1,1,51
19,2016,1,1,49
20,2016,1,1,12
22,2016,1,1,23
24,2016,1,1,28
25,2016,1,1,65
1,2016,2,1,36
2,2016,2,1,37
3,2016,2,1,30
4,2016,2,1,57
5,2016,2,1,41
6,2016,2,1,39
7,2016,2,1,54
8,2016,2,1,46
9,2016,2,1,47
10,2016,2,1,45
11,2016,2,1,79
12,2016,2,1,59
14,2016,2,1,32
15,2016,2,1,47
16,2016,2,1,34
17,2016,2,1,30
18,2016,2,1,45
19,2016,2,1,38
20,2016,2,1,19
22,2016,2,1,36
24,2016,2,1,20
25,2016,2,1,58
1,2016,3,2,49
2,2016,3,2,49
3,2016,3,2,55
4,2016,3,2,56
5,2016,3,2,37
6,2016,3,2,69
7,2016,3,2,66
8,2016,3,2,57
9,2016,3,2,51
10,2016,3,2,40
11,2016,3,2,74
12,2016,3,2,48
14,2016,3,2,30
15,2016,3,2,51
16,2016,3,2,38
17,2016,3,2,36
18,2016,3,2,46
19,2016,3,2,51
20,2016,3,2,17
22,2016,3,2,34
24,2016,3,2,33
25,2016,3,2,63
1,2016,4,2,50
2,2016,4,2,38
3,2016,4,2,62
4,2016,4,2,60
5,2016,4,2,40
6,2016,4,2,74
7,2016,4,2,52
8,2016,4,2,56
9,2016,4,2,50
10,2016,4,2,49
11,2016,4,2,94
12,2016,4,2,48
14,2016,4,2,36
15,2016,4,2,44
16,2016,4,2,31
17,2016,4,2,23
18,2016,4,2,45
19,2016,4,2,44
20,2016,4,2,15
22,2016,4,2,27
24,2016,4,2,32
25,2016,4,2,52
1,2016,5,2,55
2,2016,5,2,53
3,2016,5,2,43
4,2016,5,2,56
5,2016,5,2,52
6,2016,5,2,72
7,2016,5,2,78
8,2016,5,2,84
9,2016,5,2,53
10,2016,5,2,61
11,2016,5,2,90
12,2016,5,2,59
14,2016,5,2,52
15,2016,5,2,48
16,2016,5,2,47
17,2016,5,2,26
18,2016,5,2,58
19,2016,5,2,57
20,2016,5,2,18
22,2016,5,2,42
24,2016,5,2,23
25,2016,5,2,67
1,2016,6,3,69
2,2016,6,3,59
3,2016,6,3,52
4,2016,6,3,54
5,2016,6,3,61
6,2016,6,3,65
7,2016,6,3,65
8,2016,6,3,98
9,2016,6,3,67
10,2016,6,3,59
11,2016,6,3,92
12,2016,6,3,56
14,2016,6,3,40
15,2016,6,3,60
16,2016,6,3,36
17,2016,6,3,33
18,2016,6,3,56
19,2016,6,3,57
20,2016,6,3,16
22,2016,6,3,37
24,2016,6,3,31
25,2016,6,3,62
1,2016,7,3,69
2,2016,7,3,40
3,2016,7,3,62
4,2016,7,3,54
5,2016,7,3,62
6,2016,7,3,75
7,2016,7,3,65
8,2016,7,3,87
9,2016,7,3,66
10,2016,7,3,60
11,2016,7,3,81
12,2016,7,3,64
14,2016,7,3,51
15,2016,7,3,55
16,2016,7,3,46
17,2016,7,3,33
18,2016,7,3,61
19,2016,7,3,61
20,2016,7,3,22
22,2016,7,3,40
24,2016,7,3,30
25,2016,7,3,63
1,2016,8,3,69
2,2016,8,3,57
3,2016,8,3,69
4,2016,8,3,77
5,2016,8,3,59
6,2016,8,3,79
7,2016,8,3,71
8,2016,8,3,85
9,2016,8,3,53
10,2016,8,3,73
11,2016,8,3,75
12,2016,8,3,62
14,2016,8,3,60
15,2016,8,3,49
16,2016,8,3,46
17,2016,8,3,36
18,2016,8,3,68
19,2016,8,3,61
20,2016,8,3,18
22,2016,8,3,35
24,2016,8,3,41
25,2016,8,3,64
1,2016,9,4,63
2,2016,9,4,57
3,2016,9,4,52
4,2016,9,4,67
5,2016,9,4,57
6,2016,9,4,81
7,2016,9,4,64
8,2016,9,4,80
9,2016,9,4,63
10,2016,9,4,50
11,2016,9,4,80
12,2016,9,4,69
14,2016,9,4,63
15,2016,9,4,50
16,2016,9,4,40
17,2016,9,4,36
18,2016,9,4,52
19,2016,9,4,58
20,2016,9,4,17
22,2016,9,4,43
24,2016,9,4,32
25,2016,9,4,65
1,2016,10,4,55
2,2016,10,4,51
3,2016,10,4,62
4,2016,10,4,76
5,2016,10,4,50
6,2016,10,4,83
7,2016,10,4,57
8,2016,10,4,78
9,2016,10,4,67
10,2016,10,4,42
11,2016,10,4,78
12,2016,10,4,64
14,2016,10,4,56
15,2016,10,4,45
16,2016,10,4,34
17,2016,10,4,36
18,2016,10,4,76
19,2016,10,4,45
20,2016,10,4,17
22,2016,10,4,40
24,2016,10,4,36
25,2016,10,4,66
1,2016,11,4,53
2,2016,11,4,42
3,2016,11,4,57
4,2016,11,4,66
5,2016,11,4,51
6,2016,11,4,58
7,2016,11,4,51
8,2016,11,4,83
9,2016,11,4,57
10,2016,11,4,45
11,2016,11,4,85
12,2016,11,4,59
14,2016,11,4,48
15,2016,11,4,48
16,2016,11,4,36
17,2016,11,4,30
18,2016,11,4,52
19,2016,11,4,48
20,2016,11,4,15
22,2016,11,4,35
24,2016,11,4,37
25,2016,11,4,52
1,2016,12,1,60
2,2016,12,1,44
3,2016,12,1,40
4,2016,12,1,72
5,2016,12,1,39
6,2016,12,1,54
7,2016,12,1,62
8,2016,12,1,73
9,2016,12,1,53
10,2016,12,1,43
11,2016,12,1,84
12,2016,12,1,63
14,2016,12,1,42
15,2016,12,1,30
16,2016,12,1,44
17,2016,12,1,34
18,2016,12,1,58
19,2016,12,1,50
20,2016,12,1,20
22,2016,12,1,41
24,2016,12,1,20
25,2016,12,1,67
1,2017,1,1,50
2,2017,1,1,45
3,2017,1,1,43
4,2017,1,1,43
5,2017,1,1,55
6,2017,1,1,65
7,2017,1,1,60
8,2017,1,1,73
9,2017,1,1,63
10,2017,1,1,48
11,2017,1,1,83
12,2017,1,1,73
14,2017,1,1,40
15,2017,1,1,52
16,2017,1,1,34
17,2017,1,1,43
18,2017,1,1,43
19,2017,1,1,37
20,2017,1,1,22
22,2017,1,1,40
24,2017,1,1,29
25,2017,1,1,77
1,2017,2,1,56
2,2017,2,1,41
3,2017,2,1,44
4,2017,2,1,49
5,2017,2,1,53
6,2017,2,1,63
7,2017,2,1,53
8,2017,2,1,74
9,2017,2,1,52
10,2017,2,1,41
11,2017,2,1,68
12,2017,2,1,45
14,2017,2,1,32
15,2017,2,1,36
16,2017,2,1,32
17,2017,2,1,36
18,2017,2,1,46
19,2017,2,1,34
20,2017,2,1,14
22,2017,2,1,30
24,2017,2,1,28
25,2017,2,1,65
1,2017,3,2,59
2,2017,3,2,49
3,2017,3,2,50
4,2017,3,2,64
5,2017,3,2,52
6,2017,3,2,72
7,2017,3,2,53
8,2017,3,2,68
9,2017,3,2,39
10,2017,3,2,44
11,2017,3,2,75
12,2017,3,2,56
14,2017,3,2,45
15,2017,3,2,45
16,2017,3,2,34
17,2017,3,2,26
18,2017,3,2,51
19,2017,3,2,51
20,2017,3,2,20
22,2017,3,2,36
24,2017,3,2,37
25,2017,3,2,62
1,2017,4,2,61
2,2017,4,2,31
3,2017,4,2,55
4,2017,4,2,66
5,2017,4,2,59
6,2017,4,2,71
7,2017,4,2,46
8,2017,4,2,60
9,2017,4,2,52
10,2017,4,2,52
11,2017,4,2,64
12,2017,4,2,55
14,2017,4,2,48
15,2017,4,2,42
16,2017,4,2,27
17,2017,4,2,38
18,2017,4,2,51
19,2017,4,2,51
20,2017,4,2,14
22,2017,4,2,31
24,2017,4,2,20
25,2017,4,2,47
1,2017,5,2,60
2,2017,5,2,52
3,2017,5,2,65
4,2017,5,2,69
5,2017,5,2,52
6,2017,5,2,72
7,2017,5,2,68
8,2017,5,2,79
9,2017,5,2,47
10,2017,5,2,52
11,2017,5,2,85
12,2017,5,2,49
14,2017,5,2,34
15,2017,5,2,46
16,2017,5,2,43
17,2017,5,2,41
18,2017,5,2,57
19,2017,5,2,56
20,2017,5,2,23
22,2017,5,2,39
24,2017,5,2,35
25,2017,5,2,63
1,2017,6,3,60
2,2017,6,3,40
3,2017,6,3,66
4,2017,6,3,60
5,2017,6,3,51
6,2017,6,3,77
7,2017,6,3,67
8,2017,6,3,56
9,2017,6,3,43
10,2017,6,3,54
11,2017,6,3,75
12,2017,6,3,51
14,2017,6,3,49
15,2017,6,3,44
16,2017,6,3,35
17,2017,6,3,41
18,2017,6,3,69
19,2017,6,3,61
20,2017,6,3,22
22,2017,6,3,44
24,2017,6,3,30
25,2017,6,3,47
1,2017,7,3,68
2,2017,7,3,53
3,2017,7,3,60
4,2017,7,3,67
5,2017,7,3,62
6,2017,7,3,75
7,2017,7,3,69
8,2017,7,3,80
9,2017,7,3,52
10,2017,7,3,46
11,2017,7,3,74
12,2017,7,3,64
14,2017,7,3,50
15,2017,7,3,49
16,2017,7,3,47
17,2017,7,3,39
18,2017,7,3,63
19,2017,7,3,59
20,2017,7,3,19
22,2017,7,3,43
24,2017,7,3,42
25,2017,7,3,66
1,2017,8,3,76
2,2017,8,3,47
3,2017,8,3,62
4,2017,8,3,60
5,2017,8,3,66
6,2017,8,3,76
7,2017,8,3,66
8,2017,8,3,69
9,2017,8,3,39
10,2017,8,3,50
11,2017,8,3,91
12,2017,8,3,66
14,2017,8,3,42
15,2017,8,3,39
16,2017,8,3,35
17,2017,8,3,27
18,2017,8,3,61
19,2017,8,3,52
20,2017,8,3,24
22,2017,8,3,33
24,2017,8,3,43
25,2017,8,3,67
1,2017,9,4,67
2,2017,9,4,46
3,2017,9,4,49
4,2017,9,4,61
5,2017,9,4,50
6,2017,9,4,55
7,2017,9,4,50
8,2017,9,4,70
9,2017,9,4,56
10,2017,9,4,62
11,2017,9,4,81
12,2017,9,4,46
14,2017,9,4,47
15,2017,9,4,44
16,2017,9,4,36
17,2017,9,4,34
18,2017,9,4,74
19,2017,9,4,59
20,2017,9,4,16
22,2017,9,4,35
24,2017,9,4,41
25,2017,9,4,54
1,2017,10,4,69
2,2017,10,4,49
3,2017,10,4,58
4,2017,10,4,57
5,2017,10,4,58
6,2017,10,4,71
7,2017,10,4,58
8,2017,10,4,70
9,2017,10,4,40
10,2017,10,4,47
11,2017,10,4,69
12,2017,10,4,68
14,2017,10,4,44
15,2017,10,4,32
16,2017,10,4,34
17,2017,10,4,37
18,2017,10,4,72
19,2017,10,4,59
20,2017,10,4,18
22,2017,10,4,37
24,2017,10,4,35
25,2017,10,4,57
1,2017,11,4,73
2,2017,11,4,53
3,2017,11,4,54
4,2017,11,4,47
5,2017,11,4,39
6,2017,11,4,71
7,2017,11,4,48
8,2017,11,4,72
9,2017,11,4,37
10,2017,11,4,43
11,2017,11,4,68
12,2017,11,4,54
14,2017,11,4,38
15,2017,11,4,44
16,2017,11,4,40
17,2017,11,4,30
18,2017,11,4,67
19,2017,11,4,48
20,2017,11,4,19
22,2017,11,4,32
24,2017,11,4,28
25,2017,11,4,52
1,2017,12,1,54
2,2017,12,1,37
3,2017,12,1,48
4,2017,12,1,50
5,2017,12,1,30
6,2017,12,1,74
7,2017,12,1,44
8,2017,12,1,63
9,2017,12,1,41
10,2017,12,1,47
11,2017,12,1,62
12,2017,12,1,57
14,2017,12,1,35
15,2017,12,1,46
16,2017,12,1,29
17,2017,12,1,31
18,2017,12,1,68
19,2017,12,1,40
20,2017,12,1,26
22,2017,12,1,35
24,2017,12,1,27
25,2017,12,1,61
1,2018,1,1,69
2,2018,1,1,34
3,2018,1,1,46
4,2018,1,1,54
5,2018,1,1,43
6,2018,1,1,61
7,2018,1,1,59
8,2018,1,1,76
9,2018,1,1,47
10,2018,1,1,52
11,2018,1,1,69
12,2018,1,1,49
14,2018,1,1,30
15,2018,1,1,42
16,2018,1,1,33
17,2018,1,1,26
18,2018,1,1,59
19,2018,1,1,39
20,2018,1,1,27
22,2018,1,1,37
24,2018,1,1,25
25,2018,1,1,38
1,2018,2,1,48
2,2018,2,1,45
3,2018,2,1,40
4,2018,2,1,35
5,2018,2,1,35
6,2018,2,1,50
7,2018,2,1,54
8,2018,2,1,48
9,2018,2,1,38
10,2018,2,1,45
11,2018,2,1,49
12,2018,2,1,41
14,2018,2,1,35
15,2018,2,1,38
16,2018,2,1,42
17,2018,2,1,18
18,2018,2,1,53
19,2018,2,1,43
20,2018,2,1,20
22,2018,2,1,46
24,2018,2,1,26
25,2018,2,1,56
1,2018,3,2,50
2,2018,3,2,54
3,2018,3,2,53
4,2018,3,2,57
5,2018,3,2,48
6,2018,3,2,64
7,2018,3,2,58
8,2018,3,2,72
9,2018,3,2,43
10,2018,3,2,50
11,2018,3,2,71
12,2018,3,2,41
14,2018,3,2,20
15,2018,3,2,52
16,2018,3,2,45
17,2018,3,2,45
18,2018,3,2,49
19,2018,3,2,56
20,2018,3,2,14
22,2018,3,2,30
24,2018,3,2,26
25,2018,3,2,53
31,2018,3,2,1
1,2018,4,2,57
2,2018,4,2,57
3,2018,4,2,42
4,2018,4,2,69
5,2018,4,2,57
6,2018,4,2,50
7,2018,4,2,55
8,2018,4,2,66
9,2018,4,2,46
10,2018,4,2,60
11,2018,4,2,80
12,2018,4,2,63
14,2018,4,2,34
15,2018,4,2,38
16,2018,4,2,26
17,2018,4,2,28
18,2018,4,2,68
19,2018,4,2,35
20,2018,4,2,18
22,2018,4,2,27
24,2018,4,2,27
25,2018,4,2,62
1,2018,5,2,83
2,2018,5,2,58
3,2018,5,2,57
4,2018,5,2,65
5,2018,5,2,59
6,2018,5,2,99
7,2018,5,2,74
8,2018,5,2,74
9,2018,5,2,40
10,2018,5,2,59
11,2018,5,2,98
12,2018,5,2,63
14,2018,5,2,48
15,2018,5,2,40
16,2018,5,2,43
17,2018,5,2,29
18,2018,5,2,84
19,2018,5,2,56
20,2018,5,2,23
22,2018,5,2,41
24,2018,5,2,36
25,2018,5,2,81
1,2018,6,3,74
2,2018,6,3,73
3,2018,6,3,50
4,2018,6,3,57
5,2018,6,3,57
6,2018,6,3,87
7,2018,6,3,67
8,2018,6,3,54
9,2018,6,3,41
10,2018,6,3,74
11,2018,6,3,102
12,2018,6,3,49
14,2018,6,3,63
15,2018,6,3,43
16,2018,6,3,29
17,2018,6,3,39
18,2018,6,3,62
19,2018,6,3,53
20,2018,6,3,20
22,2018,6,3,39
24,2018,6,3,39
25,2018,6,3,51
1,2018,7,3,70
2,2018,7,3,41
3,2018,7,3,69
4,2018,7,3,69
5,2018,7,3,44
6,2018,7,3,75
7,2018,7,3,73
8,2018,7,3,66
9,2018,7,3,46
10,2018,7,3,73
11,2018,7,3,100
12,2018,7,3,48
14,2018,7,3,50
15,2018,7,3,48
16,2018,7,3,28
17,2018,7,3,35
18,2018,7,3,82
19,2018,7,3,39
20,2018,7,3,14
22,2018,7,3,44
24,2018,7,3,42
25,2018,7,3,52
1,2018,8,3,84
2,2018,8,3,49
3,2018,8,3,51
4,2018,8,3,73
5,2018,8,3,60
6,2018,8,3,71
7,2018,8,3,65
8,2018,8,3,81
9,2018,8,3,48
10,2018,8,3,55
11,2018,8,3,99
12,2018,8,3,79
14,2018,8,3,32
15,2018,8,3,51
16,2018,8,3,40
17,2018,8,3,31
18,2018,8,3,67
19,2018,8,3,63
20,2018,8,3,25
22,2018,8,3,32
24,2018,8,3,60
25,2018,8,3,71
1,2018,9,4,63
2,2018,9,4,37
3,2018,9,4,52
4,2018,9,4,76
5,2018,9,4,61
6,2018,9,4,72
7,2018,9,4,56
8,2018,9,4,87
9,2018,9,4,35
10,2018,9,4,52
11,2018,9,4,73
12,2018,9,4,56
14,2018,9,4,55
15,2018,9,4,34
16,2018,9,4,48
17,2018,9,4,21
18,2018,9,4,71
19,2018,9,4,61
20,2018,9,4,21
22,2018,9,4,37
24,2018,9,4,35
25,2018,9,4,64
1,2018,10,4,74
2,2018,10,4,57
3,2018,10,4,56
4,2018,10,4,58
5,2018,10,4,52
6,2018,10,4,69
7,2018,10,4,60
8,2018,10,4,64
9,2018,10,4,41
10,2018,10,4,57
11,2018,10,4,83
12,2018,10,4,54
14,2018,10,4,30
15,2018,10,4,30
16,2018,10,4,40
17,2018,10,4,34
18,2018,10,4,49
19,2018,10,4,53
20,2018,10,4,20
22,2018,10,4,32
24,2018,10,4,41
25,2018,10,4,57
1,2018,11,4,72
2,2018,11,4,41
3,2018,11,4,48
4,2018,11,4,46
5,2018,11,4,51
6,2018,11,4,65
7,2018,11,4,56
8,2018,11,4,75
9,2018,11,4,40
10,2018,11,4,60
11,2018,11,4,68
12,2018,11,4,38
14,2018,11,4,41
15,2018,11,4,39
16,2018,11,4,28
17,2018,11,4,29
18,2018,11,4,62
19,2018,11,4,46
20,2018,11,4,22
22,2018,11,4,26
24,2018,11,4,23
25,2018,11,4,52
1,2018,12,1,73
2,2018,12,1,41
3,2018,12,1,38
4,2018,12,1,62
5,2018,12,1,43
6,2018,12,1,59
7,2018,12,1,69
8,2018,12,1,59
9,2018,12,1,45
10,2018,12,1,48
11,2018,12,1,70
12,2018,12,1,52
14,2018,12,1,47
15,2018,12,1,56
16,2018,12,1,43
17,2018,12,1,34
18,2018,12,1,75
19,2018,12,1,48
20,2018,12,1,22
22,2018,12,1,25
24,2018,12,1,25
25,2018,12,1,59
1,2019,1,1,58
2,2019,1,1,47
3,2019,1,1,56
4,2019,1,1,49
5,2019,1,1,35
6,2019,1,1,61
7,2019,1,1,37
8,2019,1,1,43
9,2019,1,1,41
10,2019,1,1,47
11,2019,1,1,71
12,2019,1,1,32
14,2019,1,1,35
15,2019,1,1,28
16,2019,1,1,31
17,2019,1,1,27
18,2019,1,1,60
19,2019,1,1,42
20,2019,1,1,11
22,2019,1,1,24
24,2019,1,1,29
25,2019,1,1,47
1,2019,2,1,54
2,2019,2,1,41
3,2019,2,1,42
4,2019,2,1,48
5,2019,2,1,43
6,2019,2,1,66
7,2019,2,1,48
8,2019,2,1,67
9,2019,2,1,36
10,2019,2,1,48
11,2019,2,1,51
12,2019,2,1,37
14,2019,2,1,11
15,2019,2,1,32
16,2019,2,1,35
17,2019,2,1,30
18,2019,2,1,69
19,2019,2,1,43
20,2019,2,1,15
22,2019,2,1,28
24,2019,2,1,33
25,2019,2,1,57
1,2019,3,2,63
2,2019,3,2,50
3,2019,3,2,45
4,2019,3,2,52
5,2019,3,2,35
6,2019,3,2,59
7,2019,3,2,38
8,2019,3,2,62
9,2019,3,2,50
10,2019,3,2,51
11,2019,3,2,82
12,2019,3,2,55
14,2019,3,2,40
15,2019,3,2,46
16,2019,3,2,31
17,2019,3,2,29
18,2019,3,2,51
19,2019,3,2,37
20,2019,3,2,14
22,2019,3,2,26
24,2019,3,2,32
25,2019,3,2,54
1,2019,4,2,56
2,2019,4,2,43
3,2019,4,2,51
4,2019,4,2,60
5,2019,4,2,48
6,2019,4,2,54
7,2019,4,2,57
8,2019,4,2,68
9,2019,4,2,37
10,2019,4,2,51
11,2019,4,2,99
12,2019,4,2,47
14,2019,4,2,32
15,2019,4,2,47
16,2019,4,2,27
17,2019,4,2,36
18,2019,4,2,67
19,2019,4,2,33
20,2019,4,2,17
22,2019,4,2,28
24,2019,4,2,28
25,2019,4,2,54
1,2019,5,2,69
2,2019,5,2,39
3,2019,5,2,70
4,2019,5,2,85
5,2019,5,2,63
6,2019,5,2,78
7,2019,5,2,77
8,2019,5,2,70
9,2019,5,2,40
10,2019,5,2,49
11,2019,5,2,90
12,2019,5,2,46
14,2019,5,2,37
15,2019,5,2,34
16,2019,5,2,39
17,2019,5,2,21
18,2019,5,2,56
19,2019,5,2,49
20,2019,5,2,18
22,2019,5,2,45
24,2019,5,2,35
25,2019,5,2,70
1,2019,6,3,70
2,2019,6,3,45
3,2019,6,3,58
4,2019,6,3,51
5,2019,6,3,58
6,2019,6,3,80
7,2019,6,3,49
8,2019,6,3,73
9,2019,6,3,39
10,2019,6,3,47
11,2019,6,3,87
12,2019,6,3,58
14,2019,6,3,51
15,2019,6,3,52
16,2019,6,3,44
17,2019,6,3,25
18,2019,6,3,50
19,2019,6,3,51
20,2019,6,3,18
22,2019,6,3,43
24,2019,6,3,36
25,2019,6,3,52
